"","V1","V2"
"1","WAIC","13034.5122987197"
"2","ML","12944.1248488607"
"3","AIC","13047.0656985561"
"4","BIC","13187.4908668208"
"5","RhatMax","1.01885621814716"
"6","RhatMean","1.00723975684296"
"7","SE Mean","0.186879968871759"
"8","SE SD","0.00451487835244792"
