"","V1","V2"
"1","WAIC","8360.23962456997"
"2","ML","3471.27626036692"
"3","AIC","BIC"
"4","RhatMax","1.00733876084896"
"5","RhatMean","1.00009813543433"
"6","SE Mean","0.171658979655763"
"7","SE SD","0.00960371428227067"
