"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
30,3,5,5,3,1.06782786161686,1.6683115241049,1.97242239620839,0.918186889956849,NA,0.016722814977956,0.236407524792852,-1.69375660147521,-0.282397290751063,NA,0.999075000105284,1.00114257178504
30,3,5,5,4,1.00792945816556,0.614947922208584,1.97410031593058,1.02485987348163,NA,0.0121389975032399,0.152878662471922,-1.48811352716653,0.199285574302079,NA,0.999628205523683,1.00281295992574
30,3,5,10,3,1.06739500758287,0.901668613823681,1.68331158381363,0.964245759962234,NA,0.0164033959336594,-0.792226499744303,-1.16580154864627,-0.243659470629387,NA,0.999426510768998,1.00476657277442
30,3,5,10,4,0.995648264441068,0.932021503492548,2.46763965791138,1.0055043795734,NA,-0.0154106224762591,-0.0860365019004693,-1.70245895862458,0.195838405035041,NA,0.999778852832845,1.00398489757107
30,3,10,5,3,1.23685509857737,0.923932797483439,2.18832682233513,1.03738572391815,NA,-0.0332771875102973,-0.0169527186028204,-1.79790909276996,0.0456330158052981,NA,0.999472237379939,1.0028573650772
30,3,10,5,4,1.02774456608248,1.06699452449694,1.55880273255972,0.850391381957865,NA,-0.00143578023697909,-0.408852511028125,-1.3517728584471,0.00354165282189203,NA,0.999517388968468,1.00286474381743
30,3,10,10,3,0.978121326761209,0.823197251510473,1.72478939482509,0.899710128084234,NA,-0.0018584205100357,0.148273511532745,-1.32002453590707,-0.0901624687294718,NA,0.999164364580516,1.00129103236904
30,3,10,10,4,1.10931865601029,0.726032145580206,1.65824017524259,0.923328241995934,NA,0.00299703731732702,-0.251457906514336,-1.55651429261361,0.274184502398873,NA,0.999588284097478,1.00334582213982
30,5,5,5,3,1.03001590780101,1.09235333725922,1.90430994301143,1.00443250616725,NA,0.0190605331026797,0.437853997104112,-1.82762497364922,-0.334438644761287,NA,0.999351803086403,1.00240459421587
30,5,5,5,4,1.07390087488614,1.96439073374861,2.38734847001118,0.940563412331756,NA,-0.0139793170758321,-0.183773680865108,-2.04618562683796,-0.25587994163134,NA,0.999498765184114,1.0021770637306
30,5,5,10,3,0.78030204381327,0.922110025601936,2.41658459796645,0.892965410347667,NA,0.00906308436312067,-0.789809140557963,-2.26226999238447,-0.00745455676744026,NA,0.999428618909712,1.00222913668833
30,5,5,10,4,1.11829077094843,0.768724521199491,2.06824075883231,1.10760376767111,NA,-0.00484081689542772,-0.115198355005157,-1.74943158886881,-0.148756652101535,NA,0.999425319004458,1.00307107081102
30,5,10,5,3,0.821132922667864,1.01650389165533,2.15929866267397,0.960556071006389,NA,-0.0108495143736493,0.633310619735868,-2.05478070151654,-0.0575283068914179,NA,0.999423677617595,1.00185574092026
