"","V1","V2"
"1","WAIC","3008.02234456883"
"2","ML","2867.08838973091"
"3","AIC","550"
"4","550","550"
"5","550","550"
"6","550","550"
"7","550","550"
"8","550","550"
"9","550","550"
"10","550","550"
"11","550","550"
"12","550","550"
"13","550","550"
"14","550","550"
"15","550","550"
"16","550","550"
"17","550","550"
"18","550","550"
"19","550","550"
"20","550","550"
"21","550","550"
"22","550","550"
"23","550","550"
"24","550","550"
"25","550","550"
"26","550","550"
"27","550","550"
"28","550","550"
"29","550","550"
"30","550","550"
"31","550","550"
"32","550","550"
"33","550","550"
"34","550","550"
"35","550","550"
"36","550","550"
"37","550","550"
"38","550","550"
"39","550","550"
"40","550","550"
"41","550","550"
"42","550","550"
"43","550","550"
"44","550","550"
"45","550","550"
"46","550","550"
"47","550","550"
"48","550","550"
"49","550","550"
"50","550","550"
"51","550","550"
"52","550","550"
"53","550","550"
"54","550","550"
"55","550","550"
"56","550","550"
"57","550","550"
"58","550","550"
"59","550","550"
"60","550","550"
"61","550","550"
"62","550","550"
"63","550","550"
"64","550","550"
"65","550","550"
"66","550","550"
"67","550","550"
"68","550","550"
"69","550","550"
"70","550","550"
"71","550","550"
"72","550","550"
"73","550","550"
"74","550","550"
"75","550","550"
"76","550","550"
"77","550","550"
"78","550","550"
"79","550","550"
"80","550","550"
"81","550","550"
"82","550","550"
"83","550","550"
"84","550","550"
"85","550","550"
"86","550","550"
"87","550","550"
"88","550","550"
"89","550","550"
"90","550","550"
"91","550","550"
"92","550","550"
"93","550","550"
"94","550","550"
"95","550","550"
"96","550","550"
"97","550","550"
"98","550","550"
"99","550","550"
"100","550","550"
"101","550","550"
"102","550","550"
"103","550","550"
"104","550","550"
"105","550","550"
"106","550","550"
"107","550","550"
"108","550","550"
"109","550","550"
"110","550","550"
"111","550","550"
"112","550","550"
"113","550","550"
"114","550","550"
"115","550","550"
"116","550","550"
"117","550","550"
"118","550","550"
"119","550","550"
"120","550","550"
"121","550","550"
"122","550","550"
"123","550","550"
"124","550","550"
"125","550","550"
"126","550","550"
"127","550","550"
"128","550","550"
"129","550","550"
"130","550","550"
"131","550","550"
"132","550","550"
"133","550","550"
"134","550","550"
"135","550","550"
"136","550","550"
"137","550","550"
"138","550","550"
"139","550","550"
"140","550","550"
"141","550","550"
"142","550","550"
"143","550","550"
"144","550","550"
"145","550","550"
"146","550","550"
"147","550","550"
"148","550","550"
"149","550","550"
"150","550","550"
"151","550","550"
"152","550","550"
"153","550","550"
"154","550","550"
"155","550","550"
"156","550","550"
"157","550","550"
"158","550","550"
"159","550","550"
"160","550","550"
"161","550","550"
"162","550","550"
"163","550","550"
"164","550","550"
"165","550","550"
"166","550","550"
"167","550","550"
"168","550","550"
"169","550","550"
"170","550","550"
"171","550","550"
"172","550","550"
"173","550","550"
"174","550","550"
"175","550","550"
"176","550","550"
"177","550","550"
"178","550","550"
"179","550","550"
"180","550","550"
"181","550","550"
"182","550","550"
"183","550","550"
"184","550","550"
"185","550","550"
"186","550","550"
"187","550","550"
"188","550","550"
"189","550","550"
"190","550","550"
"191","550","550"
"192","550","550"
"193","550","550"
"194","550","550"
"195","550","550"
"196","550","550"
"197","550","550"
"198","550","550"
"199","550","550"
"200","550","550"
"201","550","550"
"202","550","550"
"203","550","550"
"204","550","550"
"205","550","550"
"206","550","550"
"207","550","550"
"208","550","550"
"209","550","550"
"210","550","550"
"211","550","550"
"212","550","550"
"213","550","550"
"214","550","550"
"215","550","550"
"216","550","550"
"217","550","550"
"218","550","550"
"219","550","550"
"220","550","550"
"221","550","550"
"222","550","550"
"223","550","550"
"224","550","550"
"225","550","550"
"226","550","550"
"227","550","550"
"228","550","550"
"229","550","550"
"230","550","550"
"231","550","550"
"232","550","550"
"233","550","550"
"234","550","550"
"235","550","550"
"236","550","550"
"237","550","550"
"238","550","550"
"239","550","550"
"240","550","550"
"241","550","550"
"242","550","550"
"243","550","550"
"244","550","550"
"245","550","550"
"246","550","550"
"247","550","550"
"248","550","550"
"249","550","550"
"250","550","550"
"251","550","550"
"252","550","550"
"253","550","550"
"254","550","550"
"255","550","550"
"256","550","550"
"257","550","550"
"258","550","550"
"259","550","550"
"260","550","550"
"261","550","550"
"262","550","550"
"263","550","550"
"264","550","550"
"265","550","550"
"266","550","550"
"267","550","550"
"268","550","550"
"269","550","550"
"270","550","550"
"271","550","550"
"272","550","550"
"273","550","550"
"274","550","550"
"275","550","550"
"276","550","550"
"277","550","550"
"278","550","550"
"279","550","550"
"280","550","550"
"281","550","550"
"282","550","550"
"283","550","550"
"284","550","550"
"285","550","550"
"286","550","550"
"287","550","550"
"288","550","550"
"289","550","550"
"290","550","550"
"291","550","550"
"292","550","550"
"293","550","550"
"294","550","550"
"295","550","550"
"296","550","550"
"297","550","550"
"298","550","550"
"299","550","550"
"300","550","550"
"301","550","550"
"302","550","550"
"303","550","550"
"304","550","550"
"305","550","550"
"306","550","550"
"307","550","550"
"308","550","550"
"309","550","550"
"310","550","550"
"311","550","550"
"312","550","550"
"313","550","550"
"314","550","550"
"315","550","550"
"316","550","550"
"317","550","550"
"318","550","550"
"319","550","550"
"320","550","550"
"321","550","550"
"322","550","550"
"323","550","550"
"324","550","550"
"325","550","550"
"326","550","550"
"327","550","550"
"328","550","550"
"329","550","550"
"330","550","550"
"331","550","550"
"332","550","550"
"333","550","550"
"334","550","550"
"335","550","550"
"336","550","550"
"337","550","550"
"338","550","550"
"339","550","550"
"340","550","550"
"341","550","550"
"342","550","550"
"343","550","550"
"344","550","550"
"345","550","550"
"346","550","550"
"347","550","550"
"348","550","550"
"349","550","550"
"350","550","550"
"351","550","550"
"352","550","550"
"353","550","550"
"354","550","550"
"355","550","550"
"356","550","550"
"357","550","550"
"358","550","550"
"359","550","550"
"360","550","550"
"361","550","550"
"362","550","550"
"363","550","550"
"364","550","550"
"365","550","550"
"366","550","550"
"367","550","550"
"368","550","550"
"369","550","550"
"370","550","550"
"371","550","550"
"372","550","550"
"373","550","550"
"374","550","550"
"375","550","550"
"376","550","550"
"377","550","550"
"378","550","550"
"379","550","550"
"380","550","550"
"381","550","550"
"382","550","550"
"383","550","550"
"384","550","550"
"385","550","550"
"386","550","550"
"387","550","550"
"388","550","550"
"389","550","550"
"390","550","550"
"391","550","550"
"392","550","550"
"393","550","550"
"394","550","550"
"395","550","550"
"396","550","550"
"397","550","550"
"398","550","550"
"399","550","550"
"400","550","550"
"401","550","550"
"402","550","550"
"403","550","550"
"404","550","550"
"405","550","550"
"406","550","550"
"407","550","550"
"408","550","550"
"409","550","550"
"410","550","550"
"411","550","550"
"412","550","550"
"413","550","550"
"414","550","550"
"415","550","550"
"416","550","550"
"417","550","550"
"418","550","550"
"419","550","550"
"420","550","550"
"421","550","550"
"422","550","550"
"423","550","550"
"424","550","550"
"425","550","550"
"426","550","550"
"427","550","550"
"428","550","550"
"429","550","550"
"430","550","550"
"431","550","550"
"432","550","550"
"433","550","550"
"434","550","550"
"435","550","550"
"436","550","550"
"437","550","550"
"438","550","550"
"439","550","550"
"440","550","550"
"441","550","550"
"442","550","550"
"443","550","550"
"444","550","550"
"445","550","550"
"446","550","550"
"447","550","550"
"448","550","550"
"449","550","550"
"450","550","550"
"451","550","550"
"452","550","550"
"453","550","550"
"454","550","550"
"455","550","550"
"456","550","550"
"457","550","550"
"458","550","550"
"459","550","550"
"460","550","550"
"461","550","550"
"462","550","550"
"463","550","550"
"464","550","550"
"465","550","550"
"466","550","550"
"467","550","550"
"468","550","550"
"469","550","550"
"470","550","550"
"471","550","550"
"472","550","550"
"473","550","550"
"474","550","550"
"475","550","550"
"476","550","550"
"477","550","550"
"478","550","550"
"479","550","550"
"480","550","550"
"481","550","550"
"482","550","550"
"483","550","550"
"484","550","550"
"485","550","550"
"486","550","550"
"487","550","550"
"488","550","550"
"489","550","550"
"490","550","550"
"491","550","550"
"492","550","550"
"493","550","550"
"494","550","550"
"495","550","550"
"496","550","550"
"497","550","550"
"498","550","550"
"499","550","550"
"500","550","550"
"501","550","550"
"502","550","550"
"503","550","550"
"504","550","550"
"505","550","550"
"506","550","550"
"507","550","550"
"508","550","550"
"509","550","550"
"510","550","550"
"511","550","550"
"512","550","550"
"513","550","550"
"514","550","550"
"515","550","550"
"516","550","550"
"517","550","550"
"518","550","550"
"519","550","550"
"520","550","550"
"521","550","550"
"522","550","550"
"523","550","550"
"524","550","550"
"525","550","550"
"526","550","550"
"527","550","550"
"528","550","550"
"529","550","550"
"530","550","550"
"531","550","550"
"532","550","550"
"533","550","550"
"534","550","550"
"535","550","550"
"536","550","550"
"537","550","550"
"538","550","550"
"539","550","550"
"540","550","550"
"541","550","550"
"542","550","550"
"543","550","550"
"544","550","550"
"545","550","550"
"546","550","550"
"547","550","550"
"548","550","550"
"549","550","550"
"550","550","550"
"551","550","550"
"552","550","550"
"553","550","550"
"554","550","550"
"555","550","550"
"556","550","550"
"557","550","550"
"558","550","550"
"559","550","550"
"560","550","550"
"561","550","550"
"562","550","550"
"563","550","550"
"564","550","550"
"565","550","550"
"566","550","550"
"567","550","550"
"568","550","550"
"569","550","550"
"570","550","550"
"571","550","550"
"572","550","550"
"573","550","550"
"574","550","550"
"575","550","550"
"576","550","550"
"577","550","550"
"578","550","550"
"579","550","550"
"580","550","550"
"581","550","BIC"
"582","969.749144269444","969.749144269444"
"583","969.749144269444","969.749144269444"
"584","969.749144269444","969.749144269444"
"585","969.749144269444","969.749144269444"
"586","969.749144269444","969.749144269444"
"587","969.749144269444","969.749144269444"
"588","969.749144269444","969.749144269444"
"589","969.749144269444","969.749144269444"
"590","969.749144269444","969.749144269444"
"591","969.749144269444","969.749144269444"
"592","969.749144269444","969.749144269444"
"593","969.749144269444","969.749144269444"
"594","969.749144269444","969.749144269444"
"595","969.749144269444","969.749144269444"
"596","969.749144269444","969.749144269444"
"597","969.749144269444","969.749144269444"
"598","969.749144269444","969.749144269444"
"599","969.749144269444","969.749144269444"
"600","969.749144269444","969.749144269444"
"601","969.749144269444","969.749144269444"
"602","969.749144269444","969.749144269444"
"603","969.749144269444","969.749144269444"
"604","969.749144269444","969.749144269444"
"605","969.749144269444","969.749144269444"
"606","969.749144269444","969.749144269444"
"607","969.749144269444","969.749144269444"
"608","969.749144269444","969.749144269444"
"609","969.749144269444","969.749144269444"
"610","969.749144269444","969.749144269444"
"611","969.749144269444","969.749144269444"
"612","969.749144269444","969.749144269444"
"613","969.749144269444","969.749144269444"
"614","969.749144269444","969.749144269444"
"615","969.749144269444","969.749144269444"
"616","969.749144269444","969.749144269444"
"617","969.749144269444","969.749144269444"
"618","969.749144269444","969.749144269444"
"619","969.749144269444","969.749144269444"
"620","969.749144269444","969.749144269444"
"621","969.749144269444","969.749144269444"
"622","969.749144269444","969.749144269444"
"623","969.749144269444","969.749144269444"
"624","969.749144269444","969.749144269444"
"625","969.749144269444","969.749144269444"
"626","969.749144269444","969.749144269444"
"627","969.749144269444","969.749144269444"
"628","969.749144269444","969.749144269444"
"629","969.749144269444","969.749144269444"
"630","969.749144269444","969.749144269444"
"631","969.749144269444","969.749144269444"
"632","969.749144269444","969.749144269444"
"633","969.749144269444","969.749144269444"
"634","969.749144269444","969.749144269444"
"635","969.749144269444","969.749144269444"
"636","969.749144269444","969.749144269444"
"637","969.749144269444","969.749144269444"
"638","969.749144269444","969.749144269444"
"639","969.749144269444","969.749144269444"
"640","969.749144269444","969.749144269444"
"641","969.749144269444","969.749144269444"
"642","969.749144269444","969.749144269444"
"643","969.749144269444","969.749144269444"
"644","969.749144269444","969.749144269444"
"645","969.749144269444","969.749144269444"
"646","969.749144269444","969.749144269444"
"647","969.749144269444","969.749144269444"
"648","969.749144269444","969.749144269444"
"649","969.749144269444","969.749144269444"
"650","969.749144269444","969.749144269444"
"651","969.749144269444","969.749144269444"
"652","969.749144269444","969.749144269444"
"653","969.749144269444","969.749144269444"
"654","969.749144269444","969.749144269444"
"655","969.749144269444","969.749144269444"
"656","969.749144269444","969.749144269444"
"657","969.749144269444","969.749144269444"
"658","969.749144269444","969.749144269444"
"659","969.749144269444","969.749144269444"
"660","969.749144269444","969.749144269444"
"661","969.749144269444","969.749144269444"
"662","969.749144269444","969.749144269444"
"663","969.749144269444","969.749144269444"
"664","969.749144269444","969.749144269444"
"665","969.749144269444","969.749144269444"
"666","969.749144269444","969.749144269444"
"667","969.749144269444","969.749144269444"
"668","969.749144269444","969.749144269444"
"669","969.749144269444","969.749144269444"
"670","969.749144269444","969.749144269444"
"671","969.749144269444","969.749144269444"
"672","969.749144269444","969.749144269444"
"673","969.749144269444","969.749144269444"
"674","969.749144269444","969.749144269444"
"675","969.749144269444","969.749144269444"
"676","969.749144269444","969.749144269444"
"677","969.749144269444","969.749144269444"
"678","969.749144269444","969.749144269444"
"679","969.749144269444","969.749144269444"
"680","969.749144269444","969.749144269444"
"681","969.749144269444","969.749144269444"
"682","969.749144269444","969.749144269444"
"683","969.749144269444","969.749144269444"
"684","969.749144269444","969.749144269444"
"685","969.749144269444","969.749144269444"
"686","969.749144269444","969.749144269444"
"687","969.749144269444","969.749144269444"
"688","969.749144269444","969.749144269444"
"689","969.749144269444","969.749144269444"
"690","969.749144269444","969.749144269444"
"691","969.749144269444","969.749144269444"
"692","969.749144269444","969.749144269444"
"693","969.749144269444","969.749144269444"
"694","969.749144269444","969.749144269444"
"695","969.749144269444","969.749144269444"
"696","969.749144269444","969.749144269444"
"697","969.749144269444","969.749144269444"
"698","969.749144269444","969.749144269444"
"699","969.749144269444","969.749144269444"
"700","969.749144269444","969.749144269444"
"701","969.749144269444","969.749144269444"
"702","969.749144269444","969.749144269444"
"703","969.749144269444","969.749144269444"
"704","969.749144269444","969.749144269444"
"705","969.749144269444","969.749144269444"
"706","969.749144269444","969.749144269444"
"707","969.749144269444","969.749144269444"
"708","969.749144269444","969.749144269444"
"709","969.749144269444","969.749144269444"
"710","969.749144269444","969.749144269444"
"711","969.749144269444","969.749144269444"
"712","969.749144269444","969.749144269444"
"713","969.749144269444","969.749144269444"
"714","969.749144269444","969.749144269444"
"715","969.749144269444","969.749144269444"
"716","969.749144269444","969.749144269444"
"717","969.749144269444","969.749144269444"
"718","969.749144269444","969.749144269444"
"719","969.749144269444","969.749144269444"
"720","969.749144269444","969.749144269444"
"721","969.749144269444","969.749144269444"
"722","969.749144269444","969.749144269444"
"723","969.749144269444","969.749144269444"
"724","969.749144269444","969.749144269444"
"725","969.749144269444","969.749144269444"
"726","969.749144269444","969.749144269444"
"727","969.749144269444","969.749144269444"
"728","969.749144269444","969.749144269444"
"729","969.749144269444","969.749144269444"
"730","969.749144269444","969.749144269444"
"731","969.749144269444","969.749144269444"
"732","969.749144269444","969.749144269444"
"733","969.749144269444","969.749144269444"
"734","969.749144269444","969.749144269444"
"735","969.749144269444","969.749144269444"
"736","969.749144269444","969.749144269444"
"737","969.749144269444","969.749144269444"
"738","969.749144269444","969.749144269444"
"739","969.749144269444","969.749144269444"
"740","969.749144269444","969.749144269444"
"741","969.749144269444","969.749144269444"
"742","969.749144269444","969.749144269444"
"743","969.749144269444","969.749144269444"
"744","969.749144269444","969.749144269444"
"745","969.749144269444","969.749144269444"
"746","969.749144269444","969.749144269444"
"747","969.749144269444","969.749144269444"
"748","969.749144269444","969.749144269444"
"749","969.749144269444","969.749144269444"
"750","969.749144269444","969.749144269444"
"751","969.749144269444","969.749144269444"
"752","969.749144269444","969.749144269444"
"753","969.749144269444","969.749144269444"
"754","969.749144269444","969.749144269444"
"755","969.749144269444","969.749144269444"
"756","969.749144269444","969.749144269444"
"757","969.749144269444","969.749144269444"
"758","969.749144269444","969.749144269444"
"759","969.749144269444","969.749144269444"
"760","969.749144269444","969.749144269444"
"761","969.749144269444","969.749144269444"
"762","969.749144269444","969.749144269444"
"763","969.749144269444","969.749144269444"
"764","969.749144269444","969.749144269444"
"765","969.749144269444","969.749144269444"
"766","969.749144269444","969.749144269444"
