"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
30,5,5,0.425897431523228,0.220493614508181,0.485907680010924,0.81094858113612,0.265130522890403,0.0599204108810518,0.120488057617855,-0.11183500955382,-0.0432613606999744,0,1.00016330668762,1.01402869679144
30,10,5,0.578579176647149,0.255233773763316,0.451588243014324,0.784156577545023,0.418290835217193,0.0374720959287943,0.00898417475999474,-0.108965592967163,-0.0575971192855393,2.77555756156289e-17,0.999911950290363,1.01852511141927
50,5,5,0.625060293053331,0.185780984304424,0.0509400417129963,0.784388980464398,0.418220524271518,0.0267347788900032,0.12922080196251,-0.00219244685935909,-0.011382705829909,1.38777878078145e-17,0.999434154106845,1.01150296841231
50,10,5,0.403909273386884,0.211716262833203,0.232000604400174,0.812286433033056,0.174392149009844,-0.0500917508263895,-0.172987665697231,-0.0194899887174795,0.0424777811282937,1.73472347597681e-17,0.999533867812355,1.01114860905867
