"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
60,10,5,0.473852942688477,0.205019248617576,0.182755941924953,-0.0168344722886537,0.0900723390371625,-5.55111512312578e-17,1.00232096137042,1.0108756453865
60,15,5,0.493753692605414,0.184436362190019,0.153578608613937,0.0594104067691645,-0.0170384457684593,2.77555756156289e-17,1.00111750234103,1.00858219443134
60,10,5,0.518014881095859,0.227670997400145,0.0597247536497757,-0.020058567268429,-0.0993443856115074,-3.46944695195361e-17,0.999572331280194,1.00448204183716
60,15,5,0.578459828812686,0.225503176542694,0.1105265021525,0.0558966397710284,-0.0068783880028753,2.77555756156289e-17,1.00029070249165,1.00720551638136
60,10,5,0.791010285382359,0.392596608463352,0.185353585416774,0.00139463083651543,0.306813202906921,-2.77555756156289e-17,0.9997273655598,1.00284445409649
60,15,5,0.747371686932877,0.261761966131041,0.0928508495132278,0.0201755330842371,-0.00207403300558618,3.81639164714898e-17,1.00105259103914,1.00878013538079
90,10,5,0.669034520246469,0.204177231566593,0.0762932670122087,-0.00935955662216554,0.147132319943854,0,1.00106014478523,1.0122648891857
90,15,5,0.327800621151721,0.114864655739304,0.119059200286059,-0.0262468421584586,0.0142751798248988,2.77555756156289e-17,1.00145763852658,1.01044505906585
90,10,5,0.629764017999885,0.214814912035504,0.175204938302089,-0.00604263531205731,-0.136944333634861,6.93889390390723e-18,0.999684305567295,1.00518379959471
90,15,5,0.646475221072098,0.227320791788892,0.0377074176040629,0.0136063980621561,0.114558030674809,3.46944695195361e-17,0.999714536342308,1.00303955538597
90,10,5,0.951449420800356,0.704063578779453,0.24713361306529,0.0190364698161257,0.345716129101768,2.77555756156289e-17,0.999460043730304,1.00405975890103
90,15,5,0.792188014607804,0.417523812125948,0.240318234337623,0.0456531260975815,-0.0218223304894161,-1.38777878078145e-17,0.999521200663377,1.00648603083135
