"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
60,10,3,0.34716945370051,0.482249148767251,0.722280826159144,0.162831597627739,0.101752394698853,4.14817445258849e-18,0.249148216775264,-1.38777878078145e-17,0.999949750872061,1.00774322188442
60,15,3,0.222549247625863,0.421524982701865,0.387356546625122,0.0854472103766807,-0.0186971866040599,7.40329383445519e-18,-0.0861449370144435,-6.93889390390723e-18,1.00373773588822,1.01710640575939
60,10,5,0.381553730101275,1.05538974024201,0.754066469491692,0.111474623494521,-0.102504830442699,4.71411104596697e-17,0.445390920190821,0,0.99928133755453,1.00151931269792
60,15,5,0.229801666892859,0.348547873245717,0.41026459683463,0.0430585810227154,-0.0785788780326857,-1.29562159612018e-17,-0.0318518267121117,1.38777878078145e-17,0.99949633677918,1.00344841171856
60,10,10,0.307097623396357,0.395809266386635,0.429960295623128,0.104594727037161,0.0498976276163787,0,0.00902776338329805,0,1.00022017957662,1.00544226980676
60,15,10,0.468367245166308,0.472937070448012,0.789432695456934,0.129830208203295,0.358625252419165,-5.57279916657549e-18,0.53324749439467,0,0.999417909650161,1.00254063775369
90,10,3,0.428205191728446,0.813783452325896,0.77835308193955,0.0574974106594146,-0.173447450615623,2.75387351811318e-18,0.0345115358030062,1.04083408558608e-17,0.999796973162572,1.00541662215073
90,15,3,0.229993123938098,0.469048831253021,0.648073947732739,0.0486631210665779,0.0751782210266975,-1.11058442534932e-17,-0.051908093365516,-2.77555756156289e-17,1.00062508060151,1.00712356424653
90,10,5,0.287967645746465,0.396308191502633,0.519336250657278,0.0716108418916107,0.0545298265304117,5.56602290299746e-18,-0.14892158229779,-2.77555756156289e-17,1.00087085848234,1.00925674374225
90,15,5,0.308052658110862,0.481037043804555,0.45548581590968,0.0610670269921815,-0.1452802625353,0,-0.221537015618142,1.38777878078145e-17,0.999853436874745,1.00666465272705
90,10,10,0.383872397108953,0.523027945366188,0.739076976866762,0.171590152388953,-0.10461062012385,1.66641873911022e-17,-0.176908789246064,-1.04083408558608e-17,0.999856978836225,1.00695771807565
90,15,10,0.285166902928068,1.54766450124348,0.69704637340381,0.128826060103561,0.132786159557101,6.8434841127285e-17,-0.495059028677232,-2.77555756156289e-17,1.00008328631981,1.00853429427363
120,10,3,0.298825153735266,0.567081854098918,0.625813849961041,0.045995945115821,0.118870854242011,5.57008866114428e-18,-0.0204841334792,-3.81639164714898e-17,1.00011242981209,1.00604962692311
120,15,3,0.232684147247537,0.48759667318191,0.451341532487276,0.0363131541128136,0.102363800602779,-5.57279916657549e-18,0.0886282785470509,7.63278329429795e-17,1.00461435517221,1.02651843951214
120,10,5,0.334322205406938,0.31850050158649,0.289644723362505,0.0824799555555087,-0.112804463875503,-1.38777878078145e-17,0.0920230280386506,4.33680868994202e-17,0.999494869628737,1.00503360071583
120,15,5,0.252392204815569,0.517947787365697,0.641300745985107,0.0571053137500324,-0.0518033341766275,1.85669622038143e-18,-0.0513490249325769,0,1.00124829351105,1.01097350369298
120,10,10,0.311108920207368,0.4614129762116,0.702348626064816,0.0756392977729945,0.126889276352586,1.94316134363715e-17,0.310041349182669,-6.93889390390723e-17,0.999429569246845,1.00718551967774
120,15,10,0.383883230018105,0.345790576344785,0.572371674972541,0.0993167694241001,-0.269134203832757,1.10986162390099e-17,-0.399607989087972,1.38777878078145e-17,1.00191056106232,1.01885021948466
