"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
60,10,3,0.280797992443216,0.581373117179069,0.651306130656149,0.0886243386648873,-0.00492827147909834,-3.18955338486291e-18,-0.0229794990857143,7.80625564189563e-18,1.00235107149196,1.01046894074951
60,15,3,0.225972140739052,0.46322137119198,0.649053786115472,0.0697194017823328,0.00731690333809175,7.06003090913723e-18,0.0578275981211029,-1.56125112837912e-18,1.00196404991031,1.00956756484534
60,10,5,0.334486060703073,1.07139265679732,0.916647347213055,0.0735316083074105,-0.00960560977876869,-2.64111649217468e-18,0.0069321106084178,-9.19403442267707e-18,1.00181323112607,1.00902116047139
60,15,5,0.240128208062505,0.361878830679142,0.641691392181026,0.0787913171769509,-0.000298561717113717,-2.95868043787296e-18,0.0643787635115489,4.85722573273506e-18,1.00363563400449,1.01466278920508
60,10,10,0.284487376521113,0.413406743557123,0.889543795424354,0.0857702162959861,0.00725049068171587,-5.27667644821539e-18,-0.0399319404126925,-2.77555756156289e-18,1.00179918143363,1.00893487329942
60,15,10,0.244586034003931,0.590664261410579,0.952441481354635,0.0719973823983004,-0.000876493826700957,-1.68850484086556e-17,0.0254294048128714,1.80411241501588e-17,1.00204423816086,1.00971868716071
90,10,3,0.284588165890461,0.251734044367205,0.63878122562628,0.0803216358614898,-0.00926544611824857,1.72523670696744e-19,0.194314979401704,1.04083408558608e-17,1.00212606119982,1.01183011156989
90,15,3,0.237034361727952,0.430763376413529,0.744093437730322,0.0597644788502235,0.0191258768911822,4.07320603693975e-18,-0.0249038424358344,-3.19189119579733e-17,1.00196843098367,1.00965484051001
90,10,5,0.294838004454627,0.487290186639218,0.86091952686383,0.0657113898107183,0.0131696216203539,-4.50770605738004e-18,-0.107838642263208,1.27935856353289e-17,1.00154027099008,1.01135629111985
90,15,5,0.240817048447,0.473914157763871,0.882880858109894,0.0504368294947385,0.00331553952746955,3.37539241349048e-18,-0.0329579623534485,-6.41847686111421e-18,1.00289235362527,1.01229119819312
90,10,10,0.296681761458463,0.319492300363921,0.900543512309758,0.048811724192125,0.0121943603648691,-1.79794601515986e-18,-0.261333772400549,1.09287578986539e-17,1.00175516380023,1.01162782305909
90,15,10,0.234792529803464,0.345436311509532,0.774217293765412,0.0619334597377295,-0.0170976985036016,2.40543804493066e-18,0.0216611702867161,2.25514051876984e-18,1.00236473985916,1.01230426727613
120,10,3,0.278510276480394,0.262612286644117,0.690068713945351,0.0509630094031369,-0.0102797732884536,4.85972447992942e-19,-0.000139788876816203,4.16333634234435e-18,1.00058297735896,1.00675080195235
120,15,3,0.236417115628741,0.557962150631364,0.659503335153466,0.0496762091899901,-0.00946803652665072,4.52898352501507e-18,0.0725538708818356,-1.64798730217798e-18,1.00163950730617,1.00950541327024
120,10,5,0.2918677240693,0.425690557641064,0.801987365647853,0.0625033104793049,0.000655225209055335,4.09421845384838e-18,0.0129388741854397,1.11022302462516e-17,1.00069569618889,1.00837082829723
120,15,5,0.233507929890256,0.605727889088426,0.8401289367067,0.0550102896842055,0.0068316204649336,8.46897421982739e-19,-0.112454496544355,-1.15359111152458e-17,1.00167056837273,1.00980405099174
120,10,10,0.278178893517914,0.314753609109772,0.932138980155774,0.0536695799098732,-0.0124122135303539,-5.89124120309574e-19,-0.0796760119152429,-3.98986399474665e-18,1.0010609822703,1.00875562576895
120,15,10,0.237255126607274,0.433811937545244,0.885945811531591,0.044637923970146,-0.00805282646388701,-5.57388336874798e-18,-0.0653319773407289,-8.67361737988502e-20,1.00374070555384,1.01602934375724
