"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
60,10,3,0.295424378623731,0.567998125383266,0.659504692641285,0.0882129661105458,0.0624512877198496,-8.31583066296382e-18,-0.176334617804517,-1.73472347597681e-17,1.00115730003282,1.00868604871793
60,15,3,0.227356266142809,0.43119731827499,0.544293848095902,0.0390770846976205,0.0730893245269818,1.24990440451371e-17,0.0237823033484737,-1.38777878078145e-17,1.00382686726403,1.02086496751244
60,10,5,0.338351597921039,0.424724935306616,0.536598492971112,0.0973161949442608,0.240480869944405,4.84909421644142e-18,0.29212602847068,0,1.00026491132331,1.00832229228972
60,15,5,0.255455690650945,0.447695824730311,0.479240106284368,0.028594813321491,0.0853968248661979,-7.39595288224565e-18,0.0126856447965826,-4.16333634234434e-17,1.00092472086242,1.00895076653149
60,10,10,0.320455844429282,0.554027926805864,0.655097301706223,0.0308048245174954,-0.0039652375817576,-1.10968092353891e-17,-0.164441435864834,9.71445146547012e-17,0.999227355451729,1.00387939046189
60,15,10,0.227387922181909,0.461133764911863,0.917387388720305,0.0667278204755077,0.0587755538668811,0,0.286502709288928,-3.46944695195361e-18,1.00040574269815,1.00378643667709
90,10,3,0.276093851514386,0.524439316950149,0.600397614611577,0.0226789025799798,0.104783421805355,1.10968092353891e-17,0.165660523942732,-3.46944695195361e-18,1.00200376448648,1.01513438653161
90,15,3,0.239679710978567,0.450140003432327,0.442721744853468,0.0939521242691729,-0.0614975860337166,2.21881974599158e-17,-0.0375983797098996,-8.32667268468867e-17,1.00030828958264,1.00675457134223
90,10,5,0.304213447430958,0.426909022288116,0.525216160641705,0.0495627854737512,-0.110619561479725,-1.10913882245267e-17,-0.276936261285603,-2.42861286636753e-17,0.999177866715551,1.00207295112673
90,15,5,0.281181723125888,1.44379526056077,0.980134974022261,0.0683179857454567,-0.0500847578361764,3.70941703279707e-17,0.366622850436756,-2.77555756156289e-17,0.999614632617447,1.00337377805839
90,10,10,0.389108908635546,0.34243804412699,0.459192435653932,0.0499184074120167,-0.263588216210373,-8.32667268468867e-18,-0.238077616575447,1.38777878078145e-17,1.00014483361037,1.00730493498265
90,15,10,0.281819884330495,0.449895953006682,0.647993801454498,0.123585163535358,0.141299801278346,-3.70797142990043e-18,0.130904929438598,1.38777878078145e-17,0.999517943025102,1.00434730920764
120,10,3,0.275895919131696,0.554174039817896,0.544487548564588,0.0699324009973809,-0.0648455015408826,0,-0.113110364124955,-4.16333634234434e-17,1.00032522299404,1.00797399545096
120,15,3,0.242330039026007,0.358613216942214,0.381478090924381,0.031970023129738,-0.0557074243744492,3.69893641179638e-18,-0.0268087434863557,0,1.0043767215925,1.02327156261096
120,10,5,0.39062529014471,0.528927803077558,0.672608516059203,0.122927922916953,0.232476732221605,0,0.21634475925204,-2.77555756156289e-17,1.00056205149416,1.01059308858771
120,15,5,0.278299001570725,0.368838544853776,0.548033262476479,0.0727418966263388,0.143676504130644,9.28799861095915e-19,0.268688246621625,-1.04083408558608e-17,1.00132658085576,1.01121244279443
120,10,10,0.336265751048777,0.595918081804252,0.785738057224823,0.0939803273516134,-0.119603043224934,2.21881974599158e-17,-0.229979055307685,2.77555756156289e-17,0.999504622711796,1.00506742409308
120,15,10,0.28293616730349,0.487873961717433,0.773759239538986,0.0778063072587471,-0.125372878140616,-2.49718865377724e-17,-0.16110189089727,-3.81639164714898e-17,0.999030308390103,1.00196806975115
