"","x"
"1",0.682211662881757
"2",0.747912957824978
"3",0.831602878387749
"4",0.735242393052641
"5",0.85467121284003
"6",0.884744000258367
"7",0.865685439548206
"8",0.78652713547437
"9",0.80281791643163
"10",0.690386323709779
"11",0.761108372796694
"12",0.759123957370716
"13",0.844279225324455
"14",0.836953496247747
"15",0.836334867782199
"16",0.796552070203745
"17",0.793720186689258
"18",0.854649651018186
"19",0.84422306463727
"20",0.768015483215045
"21",0.778765224913701
"22",0.690216016420235
"23",0.70346215517561
"24",0.831998776031098
"25",0.826317547316444
"26",0.884833409577926
"27",0.870985591563763
"28",0.794534420191454
"29",0.766957745014084
"30",0.75989953651423
"31",0.864254556190242
"32",0.866633240012123
"33",0.802337067043912
"34",0.776932995330764
"35",0.759250176743562
"36",0.874253864348676
"37",0.784576133120837
"38",0.854899476477194
"39",0.822329237905235
"40",0.821311568082112
"41",0.808293961075267
"42",0.743722977525208
"43",0.845463679849868
"44",0.798915626503738
"45",0.803512218831405
"46",0.745277508272301
"47",0.840806827435793
"48",0.816636261288346
"49",0.793603544852313
"50",0.840092763183696
"51",0.916957257761244
"52",0.769387077515345
"53",0.847235194107114
"54",0.850419840344528
"55",0.828805946233019
"56",0.879640212614624
"57",0.704521196265
"58",0.693726288832787
"59",0.803754173457259
"60",0.816788044559646
"61",0.834169970338432
"62",0.757957339731495
"63",0.842969585364454
"64",0.83857111413016
"65",0.839584389385564
"66",0.791371533653943
"67",0.812474630325088
"68",0.709075145484194
"69",0.79602983755076
"70",0.830099906413101
"71",0.73993653456011
"72",0.850884576907162
"73",0.7281127099423
"74",0.808045674923888
"75",0.710224689066265
"76",0.77533548374061
"77",0.741913986904579
"78",0.781939145693972
"79",0.818108928532464
"80",0.754583174981057
"81",0.78223791286895
"82",0.896077746495244
"83",0.829979334647917
"84",0.762237582097999
"85",0.818636855797657
"86",0.849726510433888
"87",0.844176393474998
"88",0.806600482985822
"89",0.857122777647714
"90",0.837738713839937
"91",0.688448188830412
"92",0.773579095312555
"93",0.839194663707832
"94",0.796037643608055
"95",0.776136510965405
"96",0.775138379495471
"97",0.86590042163372
"98",0.852542695161942
"99",0.854852164165332
"100",0.881111922113609
