"","x"
"1",0.3245060433328
"2",0.257022427491504
"3",0.244073998146617
"4",0.275446465262887
"5",0.349502014253156
"6",0.31313632440421
"7",0.247741791072102
"8",0.30584268786239
"9",0.282513166306617
"10",0.325061085152785
"11",0.25832609564486
"12",0.352123401159227
"13",0.310185098123238
"14",0.286240328150425
"15",0.296858469181393
"16",0.274130192940495
"17",0.277337373843391
"18",0.247202949612228
"19",0.23398602845151
"20",0.275508210397597
"21",0.303396125201846
"22",0.323867194421555
"23",0.269000380078104
"24",0.245503509328537
"25",0.31245701152276
"26",0.293752101821897
"27",0.254454047581669
"28",0.340209757331867
"29",0.350317483047698
"30",0.252864333450872
"31",0.301144612405261
"32",0.390854835289774
"33",0.29345655327952
"34",0.311765267795737
"35",0.326114732592516
"36",0.345846872723179
"37",0.2865358848475
"38",0.314164061643996
"39",0.26259270734889
"40",0.268940968207601
"41",0.309144106879726
"42",0.264304035005291
"43",0.30128115838708
"44",0.307751092876818
"45",0.365150439217728
"46",0.344391731956497
"47",0.298395477259785
"48",0.263558841997044
"49",0.233775286297788
"50",0.309969636447454
"51",0.288315554851899
"52",0.282851007734499
"53",0.288226216088349
"54",0.276214032787194
"55",0.242366833205467
"56",0.28962887910742
"57",0.273705478052485
"58",0.296462695956372
"59",0.241661887148791
"60",0.283227540577445
"61",0.289568181139756
"62",0.264499183674587
"63",0.326247489762387
"64",0.25605661146435
"65",0.235561745394755
"66",0.291761657423513
"67",0.281966915472585
"68",0.299289470322716
"69",0.275970057768976
"70",0.25473917568287
"71",0.276162578977708
"72",0.279425203919777
"73",0.278771304555806
"74",0.362584134783933
"75",0.313952411717538
"76",0.310924162842999
"77",0.312569809368631
"78",0.30239047785808
"79",0.296203355399754
"80",0.343311571944146
"81",0.32727358499591
"82",0.299600456126332
"83",0.301757885181645
"84",0.342132513510522
"85",0.34057226443118
"86",0.239083815012782
"87",0.324472647749952
"88",0.286506894031985
"89",0.269616646580377
"90",0.293243343996104
"91",0.300001790806029
"92",0.276991731761073
"93",0.250060102328484
"94",0.335933387750518
"95",0.352085395472577
"96",0.31866259437895
"97",0.251047168285866
"98",0.343005367077282
"99",0.227734863399761
"100",0.263426864711911
