"","x"
"1",0.739780715054249
"2",0.679725427480879
"3",0.70386117072165
"4",0.45920076256191
"5",0.680354018429132
"6",0.662047775820049
"7",0.687037604742676
"8",0.54821402344413
"9",0.513499728951485
"10",0.56738584811726
"11",0.784702230597506
"12",0.686567617532752
"13",0.555736527297607
"14",0.611490228247362
"15",0.555661445509505
"16",0.597269369893757
"17",0.675126051727604
"18",0.654901893714602
"19",0.635562841707737
"20",0.699302105441937
"21",0.74865905259076
"22",0.445163116912008
"23",0.720910217850308
"24",0.550566944654245
"25",0.66116328229654
"26",0.606008808522144
"27",0.612825429630815
"28",0.53489832347573
"29",0.6470085874292
"30",0.564060858849497
"31",0.483350909319955
"32",0.648582291479318
"33",0.813874441227922
"34",0.718097802448447
"35",0.629201899779961
"36",0.780459650306408
"37",0.584053427181171
"38",0.657725936646583
"39",0.476147982930105
"40",0.690522325521663
"41",0.819789026617884
"42",0.724934598531393
"43",0.47114363057777
"44",0.517957808680699
"45",0.418809303290438
"46",0.75032632239284
"47",0.540389460547193
"48",0.676599828743339
"49",0.790478169037622
"50",0.723462293868043
"51",0.53787738654094
"52",0.623557691756192
"53",0.621891614170601
"54",0.575327904382275
"55",0.518154116371657
"56",0.56850563368596
"57",0.593192018784862
"58",0.635847661773534
"59",0.731423796988467
"60",0.690606236813401
"61",0.554196010474192
"62",0.694734903286336
"63",0.59094633305972
"64",0.611922430793574
"65",0.563487558786964
"66",0.726691581677898
"67",0.566914199340535
"68",0.759543110749866
"69",0.539434621888259
"70",0.70606309718109
"71",0.626186503984559
"72",0.562755928401968
"73",0.620014094100856
"74",0.50458660493853
"75",0.733568488205012
"76",0.635702356825181
"77",0.482696749786887
"78",0.586909712488829
"79",0.7397782183737
"80",0.730368892552746
"81",0.707290095529198
"82",0.482196338888939
"83",0.520115785040125
"84",0.563645638244545
"85",0.541473453309885
"86",0.660529807815599
"87",0.682102304780183
"88",0.64130306327145
"89",0.595857497780985
"90",0.788618937391491
"91",0.4843255336441
"92",0.798726499807045
"93",0.711479714588829
"94",0.609490766912522
"95",0.733550465256058
"96",0.534446029513682
"97",0.720865602500869
"98",0.585105331221935
"99",0.685182846166977
"100",0.4817018888227
