"","x"
"1",0.729874920150403
"2",0.82031799898918
"3",0.891514913271086
"4",0.799995127578271
"5",0.866530372806226
"6",0.758548857906975
"7",0.80144494193476
"8",0.826505642973007
"9",0.889076911537038
"10",0.733493811604349
"11",0.751418116856922
"12",0.822256547359999
"13",0.80843584943164
"14",0.805815759059457
"15",0.703770433193236
"16",0.858449741063641
"17",0.817688218170563
"18",0.856157739322128
"19",0.862003730694859
"20",0.834001903153142
"21",0.874810477430198
"22",0.888220651837065
"23",0.866538630456411
"24",0.832773319217811
"25",0.781046349700173
"26",0.782424296339467
"27",0.753740378227962
"28",0.814581996792044
"29",0.681617334285515
"30",0.812358393575575
"31",0.694058031372943
"32",0.777375263214368
"33",0.847493573538257
"34",0.749701079112614
"35",0.784606800452159
"36",0.701863578216126
"37",0.768687009671434
"38",0.84737442043637
"39",0.846876434716066
"40",0.812672731756808
"41",0.852298114668136
"42",0.824696127892662
"43",0.845922884421392
"44",0.77377938276459
"45",0.832732634409989
"46",0.82983922679341
"47",0.838385793642902
"48",0.795181525700217
"49",0.759789630669651
"50",0.80699904023007
"51",0.828542432415368
"52",0.70408211776508
"53",0.793301980442006
"54",0.835024615608517
"55",0.764676697717193
"56",0.853472608602128
"57",0.839411845647977
"58",0.795460249562333
"59",0.657140709696177
"60",0.822558992432705
"61",0.775196733017491
"62",0.868207854703434
"63",0.844200436463718
"64",0.873228949376611
"65",0.790026116717852
"66",0.785721862010428
"67",0.83151025475308
"68",0.756821389658696
"69",0.845409941070616
"70",0.871937815513039
"71",0.741438520170074
"72",0.833452218001344
"73",0.792534314350559
"74",0.823640392938495
"75",0.762176825839315
"76",0.760754197656672
"77",0.778585588026453
"78",0.689227724601009
"79",0.840534315278305
"80",0.800790687078202
"81",0.700925985339381
"82",0.860847032464282
"83",0.745574906888874
"84",0.864125109808446
"85",0.807499907197196
"86",0.791462817435114
"87",0.757490202746013
"88",0.877882820380207
"89",0.825693061962002
"90",0.828033389617719
"91",0.711334565567325
"92",0.797944628181206
"93",0.768088092266762
"94",0.792309664926794
"95",0.825998729915024
"96",0.833343609726296
"97",0.805984239019553
"98",0.838862315515873
"99",0.771274510731618
"100",0.72995737477033
