"","x"
"1",0.595439283682162
"2",0.5367219733619
"3",0.619843178874855
"4",0.529386165393033
"5",0.541825622656715
"6",0.458647557528093
"7",0.657235029201884
"8",0.545457012310042
"9",0.463576703958697
"10",0.633150428054137
"11",0.590975571250405
"12",0.662226015390671
"13",0.660785851832932
"14",0.340401701507482
"15",0.604687117444114
"16",0.56341146172902
"17",0.554967600015648
"18",0.586283358783032
"19",0.510036905454492
"20",0.718148879774593
"21",0.750039912270491
"22",0.623877581037288
"23",0.578019549733604
"24",0.525932300691904
"25",0.578499159363866
"26",0.503917145746116
"27",0.593410544579346
"28",0.525030059806885
"29",0.525951807840274
"30",0.591380852969261
"31",0.492968176256776
"32",0.777444265561973
"33",0.546274661011921
"34",0.681274742802939
"35",0.695013894935526
"36",0.527304063368917
"37",0.586359445561291
"38",0.498418078002231
"39",0.751547693736173
"40",0.645823754910961
"41",0.630865058396185
"42",0.642955463413942
"43",0.56167358537434
"44",0.569578230151319
"45",0.565462427749548
"46",0.735624294194803
"47",0.437397787065416
"48",0.524999360059438
"49",0.602097329800905
"50",0.477465713824662
"51",0.448758276313169
"52",0.800920153586128
"53",0.694034771098549
"54",0.57313018618625
"55",0.513520697585548
"56",0.640952002641173
"57",0.542738479218974
"58",0.538021162597983
"59",0.571740822557026
"60",0.529083388865407
"61",0.57525231071839
"62",0.624409221767891
"63",0.674637909862813
"64",0.608760983512077
"65",0.644878976886509
"66",0.584357788192302
"67",0.683403621656922
"68",0.632306335712449
"69",0.696924563220576
"70",0.438273581137299
"71",0.566726072397368
"72",0.57310985019979
"73",0.569670906355248
"74",0.481969387489556
"75",0.563880406802201
"76",0.414874486896317
"77",0.591646753518382
"78",0.507586418528696
"79",0.609367558455254
"80",0.555817183347129
"81",0.514929520050145
"82",0.654103801960958
"83",0.635409292847009
"84",0.606414673222145
"85",0.660177683010264
"86",0.387020064025024
"87",0.589062443590675
"88",0.571182109530449
"89",0.64888899644688
"90",0.590848628120646
"91",0.550392583990617
"92",0.545441142022528
"93",0.523159803100027
"94",0.644262990620665
"95",0.613294181085471
"96",0.544272622665151
"97",0.646386200929005
"98",0.630007844983039
"99",0.597669609853802
"100",0.662799591923001
"101",0.635693058345568
"102",0.685901867691605
"103",0.642860847974115
"104",0.615222265218185
"105",0.802603489012352
"106",0.726882296269123
"107",0.581680804223201
"108",0.578118153262902
"109",0.608045933918072
"110",0.629694681233467
"111",0.669559080138739
"112",0.556180754281981
"113",0.609754030991694
"114",0.639932873010171
"115",0.639042392885925
"116",0.758017112368587
"117",0.646042776215212
"118",0.698649683478503
"119",0.644979026253106
"120",0.664741793369712
"121",0.6447319856609
"122",0.541161246372
"123",0.636861586343106
"124",0.677924734653784
"125",0.764168445138509
"126",0.617739420969169
"127",0.639405426925819
"128",0.637296967929282
"129",0.683184675589671
"130",0.709047873960249
"131",0.579889612766608
"132",0.693621120657484
"133",0.526864593436725
"134",0.488022546069372
"135",0.73767056086041
"136",0.65414495644175
"137",0.697429595175698
"138",0.715705697197165
"139",0.659986479417119
"140",0.692779104888101
"141",0.64978386179092
"142",0.670104894628594
"143",0.643426006287411
"144",0.650032072922091
"145",0.602327947530554
"146",0.622397189666702
"147",0.592803900417997
"148",0.702370734193382
"149",0.699858785900314
"150",0.673784842099139
"151",0.720480353704679
"152",0.574579797930557
"153",0.739511695249006
"154",0.625757778554439
"155",0.70596044473985
"156",0.565162081496905
"157",0.670984665760318
"158",0.547751820217247
"159",0.741474930460286
"160",0.665333955822982
"161",0.718489182339035
"162",0.693550287123817
"163",0.643318239491586
"164",0.707978987052363
"165",0.712331116474988
"166",0.703338648403476
"167",0.74831741165623
"168",0.756380131939093
"169",0.717262500773932
"170",0.66270605055377
"171",0.803736967345323
"172",0.581626597176434
"173",0.752887159922647
"174",0.638205512053621
"175",0.464831821907729
"176",0.810728790107778
"177",0.627271116346107
"178",0.56371098913597
"179",0.771643378030599
"180",0.605835187348502
"181",0.775025625182147
"182",0.654009441730476
"183",0.77462192610033
"184",0.63415241358223
"185",0.736178278833668
"186",0.762963392163368
"187",0.667242702280277
"188",0.526289799316131
"189",0.613857582412916
"190",0.644008413006352
"191",0.612294035829139
"192",0.775515912581867
"193",0.660201253198568
"194",0.655639290432993
"195",0.585964841631484
"196",0.60672998427068
"197",0.725743889542988
"198",0.771631509404341
"199",0.73654087224245
"200",0.635331614237052
"201",0.810580676407555
"202",0.693023408317167
"203",0.824534550596652
"204",0.639907392082731
"205",0.688963493282531
"206",0.775812530391557
"207",0.738618240810119
"208",0.692357262168742
"209",0.653151280776837
"210",0.796431793613043
"211",0.737423836479424
"212",0.753750252346278
"213",0.745066721218796
"214",0.795982860771154
"215",0.768355193971375
"216",0.754138741944007
"217",0.789981885741379
"218",0.838697927646333
"219",0.649533253601937
"220",0.724553510632298
"221",0.689599632940587
"222",0.772214786228704
"223",0.627365002862932
"224",0.713085585082357
"225",0.619709340406543
"226",0.688413905149183
"227",0.736765443006867
"228",0.754310182914026
"229",0.667495935231521
"230",0.548863708667258
"231",0.779879575406139
"232",0.729344856596707
"233",0.742889516222205
"234",0.675156135040521
"235",0.745578807449816
"236",0.696135293514756
"237",0.773518054188687
"238",0.631233900517891
"239",0.773483870749352
"240",0.816777355697325
"241",0.68317219048208
"242",0.74434198838364
"243",0.74990119581542
"244",0.66973561989559
"245",0.720400648103377
"246",0.57263468286481
"247",0.666282352646595
"248",0.761226638050833
"249",0.66915067703124
"250",0.778001971853365
"251",0.747951146649308
"252",0.638900911757012
"253",0.586743674739262
"254",0.818800163035205
"255",0.770255306385384
"256",0.793926787194164
"257",0.703770827294981
"258",0.810589009974607
"259",0.722897115742994
"260",0.676589437472028
"261",0.726505779012264
"262",0.564219077949553
"263",0.729860341031029
"264",0.822688716556923
"265",0.73282698321367
"266",0.764726884240376
"267",0.710028635548817
"268",0.763192902062143
"269",0.698636285850224
"270",0.659178394896815
"271",0.707465113471343
"272",0.500474703070701
"273",0.682613604134231
"274",0.678853821368506
"275",0.693621981952036
"276",0.815186993800603
"277",0.533272357364375
"278",0.715340120585105
"279",0.700111093210528
"280",0.669742645105896
"281",0.749709947554124
"282",0.808217032046982
"283",0.718571319107484
"284",0.796044934126363
"285",0.599874730624775
"286",0.654407839569746
"287",0.662524588326132
"288",0.720630183163137
"289",0.66629892713581
"290",0.799719719060463
"291",0.767275195046482
"292",0.769581606583538
"293",0.598157767865327
"294",0.595308886910638
"295",0.717559482206973
"296",0.724894247208006
"297",0.686486105425052
"298",0.666193545227729
"299",0.784679411496814
"300",0.547091851162034
"301",0.575751954391532
"302",0.80116992980826
"303",0.656334095279577
"304",0.614543472884149
"305",0.558176730285792
"306",0.68026853270897
"307",0.691768807169766
"308",0.72786470811264
"309",0.598088186888172
"310",0.730879932493993
"311",0.759137086580739
"312",0.750699661680261
"313",0.658805949282212
"314",0.674928623873788
"315",0.555655341857281
"316",0.713389637653424
"317",0.58051154958424
"318",0.713729181637114
"319",0.619707626019974
"320",0.640101227765746
"321",0.563038366016237
"322",0.565161037711388
"323",0.814564822749008
"324",0.586239916584451
"325",0.67684697899252
"326",0.458878247020043
"327",0.516552122466045
"328",0.632314149095568
"329",0.696410590546822
"330",0.673156793634199
"331",0.777734055529731
"332",0.598231152301157
"333",0.709020752341346
"334",0.515429297553029
"335",0.633940075169066
"336",0.670157764051479
"337",0.577039656606313
"338",0.59624596401664
"339",0.623673990628256
"340",0.593074539730377
"341",0.634145066785274
"342",0.633818974069845
"343",0.69125466769012
"344",0.7124323696321
"345",0.44452277472618
"346",0.635741124830748
"347",0.605511441256587
"348",0.549765787804161
"349",0.425593294797844
"350",0.597295955365743
"351",0.512836583717335
"352",0.637107358221373
"353",0.729443985607526
"354",0.812833963575117
"355",0.603146166781872
"356",0.684919079265263
"357",0.558863541028087
"358",0.559071399809216
"359",0.713204546234097
"360",0.684051189295594
"361",0.555421163525301
"362",0.735651967678272
"363",0.557752823493401
"364",0.651169961848037
"365",0.475626134106532
"366",0.480612512986997
"367",0.582093731451408
"368",0.624064117088721
"369",0.648655749487456
"370",0.485692648595853
"371",0.703222529348613
"372",0.63541828429701
