"","x"
"1",0.355731789782283
"2",0.286358569178036
"3",0.314513641811687
"4",0.461635235068996
"5",0.519271801346478
"6",0.463825040518381
"7",0.226633611015035
"8",0.430893794239593
"9",0.52002428566057
"10",0.62607981484681
"11",0.366928595637865
"12",0.392867953336797
"13",0.407391870513389
"14",0.442829907408978
"15",0.43718109638347
"16",0.249595455893996
"17",0.347998165697453
"18",0.330256493959245
"19",0.53245716979374
"20",0.376237765367521
"21",0.242354284944471
"22",0.289721010357233
"23",0.450404740131205
"24",0.173621626832143
"25",0.311037720161454
"26",0.437215638077316
"27",0.373522752625543
"28",0.634741133288975
"29",0.0957288973397063
"30",0.264201120235228
"31",0.194907252057404
"32",0.552288515849671
"33",0.593295768610671
"34",0.439289155214105
"35",0.379797879211623
"36",0.24121749395346
"37",0.347456041348254
"38",0.315480911767809
"39",0.314374081192746
"40",0.290673844355675
"41",0.447942973477987
"42",0.460882632990875
"43",0.665478794728388
"44",0.485758740542187
"45",0.513792111989387
"46",0.221491320318447
"47",0.448918148373632
"48",0.255628181944608
"49",0.304843476110547
"50",0.558131907914952
"51",0.308620644520478
"52",0.188010642853319
"53",0.353931510951283
"54",0.127258774663287
"55",0.328296041643329
"56",0.238994229088941
"57",0.408636746771695
"58",0.406512753672027
"59",0.497075472460133
"60",0.401779887256992
"61",0.57079847110229
"62",0.431386074838193
"63",0.309375231724322
"64",0.437327772623694
"65",0.253440729896151
"66",0.438238983529459
"67",0.339128266789029
"68",0.370754506204209
"69",0.267766026674979
"70",0.579058212721647
"71",0.480296761668464
"72",0.342503096505593
"73",0.430643014101547
"74",0.402646292215176
"75",0.305012799802404
"76",0.378235317021267
"77",0.264563678069877
"78",0.313795877195597
"79",0.341627653389024
"80",0.362987233417131
"81",0.298347822162986
"82",0.46383998511748
"83",0.347091507459426
"84",0.489339246243075
"85",0.40288337394259
"86",0.480270074846344
"87",0.509859930118126
"88",0.416215602922463
"89",0.629683170645695
"90",0.408366823049006
"91",0.146887352329646
"92",0.408877383804965
"93",0.51144755850803
"94",0.578761297370803
"95",0.409577559249168
"96",0.423239431354968
"97",0.37236403987282
"98",0.323324126590328
"99",0.469930231948833
"100",0.496394668562405
"101",0.435473342801518
"102",0.205286599856742
"103",0.38821732882735
"104",0.0985574973367328
"105",0.506567411346745
"106",0.216011876971776
"107",0.436385362780344
"108",0.647545421101542
