"","x"
"1",0.45903516574507
"2",0.634756412406388
"3",0.762558591681911
"4",0.429957214714666
"5",0.577100445624308
"6",0.678213000293223
"7",0.423985216111557
"8",0.578421545016623
"9",0.520263393395121
"10",0.642656986292197
"11",0.644800076291406
"12",0.710591877014721
"13",0.724446896209013
"14",0.624266154606313
"15",0.459640045102544
"16",0.663127666401921
"17",0.557714890893851
"18",0.656743408105239
"19",0.490553320954238
"20",0.594016406430022
"21",0.732740399749
"22",0.71379319866512
"23",0.549391697638246
"24",0.593146547627481
"25",0.734157378871139
"26",0.617907651776432
"27",0.767217396603164
"28",0.41534483456366
"29",0.683867970618395
"30",0.583635707373738
"31",0.691606747537731
"32",0.655606692757487
"33",0.61839338509141
"34",0.723869588696951
"35",0.679417915149249
"36",0.373573465519585
"37",0.727649286232085
"38",0.542759891050219
"39",0.73562297510422
"40",0.506762714981011
"41",0.415340316449644
"42",0.803545540923857
"43",0.619123520130896
"44",0.570474015447204
"45",0.643271186885109
"46",0.600405707532147
"47",0.680440195484022
"48",0.547272399273871
"49",0.594113540853086
"50",0.484216002123028
"51",0.79022411995208
"52",0.332762991772017
"53",0.616459117779163
"54",0.504431431606184
"55",0.651987271654709
"56",0.719784324397172
"57",0.68644062557842
"58",0.722389462033936
"59",0.491870879760002
"60",0.460350866890756
"61",0.355333873072213
"62",0.646805959527221
"63",0.520506591060638
"64",0.753464582352003
"65",0.72211608726891
"66",0.532636841608577
"67",0.650037573418895
"68",0.528791176685703
"69",0.623433828607163
"70",0.465900640117725
"71",0.607997521478377
"72",0.501266802615385
"73",0.766854097749246
"74",0.720987174982506
"75",0.52054351324687
"76",0.550049485025071
"77",0.625136661034136
"78",0.621498703447946
"79",0.553675345105617
"80",0.537631405147707
"81",0.609854419955645
"82",0.545217929841424
"83",0.667034325254995
"84",0.652693527383744
"85",0.471639239038703
"86",0.699966021471062
"87",0.684088820492457
"88",0.610924010623085
"89",0.558008051596763
"90",0.443721627598691
"91",0.535659521746577
"92",0.642445106635901
"93",0.588721193771292
"94",0.552581118544071
"95",0.435037684078051
"96",0.599325777648592
"97",0.590885998850688
"98",0.472819012381685
"99",0.582749504760033
"100",0.671581782435577
