"","x"
"1",0.829587262576196
"2",0.726125157096004
"3",0.733566929907112
"4",0.744799110553984
"5",0.751210488316829
"6",0.78053467077052
"7",0.816618498021915
"8",0.889307500980371
"9",0.800489524748096
"10",0.723301363301931
"11",0.780294663160289
"12",0.697164544839136
"13",0.880895726008456
"14",0.860095564860232
"15",0.731150382854395
"16",0.70835514926972
"17",0.838346260636631
"18",0.773916217035455
"19",0.868815803909271
"20",0.808092967738465
"21",0.876094285214621
"22",0.724854284612622
"23",0.779508176735606
"24",0.824572721843132
"25",0.778721558939671
"26",0.84385275817906
"27",0.861479280609734
"28",0.818074248175897
"29",0.803412029171447
"30",0.745471744967165
"31",0.786366393998872
"32",0.908985196978691
"33",0.843890441405855
"34",0.805160993670033
"35",0.828788733180257
"36",0.828599770025766
"37",0.844021720288833
"38",0.840899519282801
"39",0.848995427592147
"40",0.810034482797483
"41",0.767947343655788
"42",0.899287708707209
"43",0.865074318566245
"44",0.725640676393353
"45",0.781785684251607
"46",0.713569660270718
"47",0.79426024308079
"48",0.873087276855925
"49",0.835631736517445
"50",0.799766923740421
"51",0.806690491928394
"52",0.802567686092561
"53",0.777792163631455
"54",0.767230239276297
"55",0.847266177423608
"56",0.734478269482671
"57",0.829912623094649
"58",0.843131234330582
"59",0.868379499879816
"60",0.79988488524613
"61",0.856622675695363
"62",0.776929175055342
"63",0.723510685001294
"64",0.88174831627737
"65",0.783628968132548
"66",0.867917139550284
"67",0.826863647112536
"68",0.813113014482358
"69",0.842543668373489
"70",0.734844343439654
"71",0.695438043724256
"72",0.826845316981627
"73",0.858978953619862
"74",0.727207430281464
"75",0.792894290595052
"76",0.772430754417837
"77",0.881610107365913
"78",0.837614984998474
"79",0.863069284094869
"80",0.763358772518295
"81",0.770704262796274
"82",0.816803270104062
"83",0.795455180462554
"84",0.679935889816321
"85",0.793574959044387
"86",0.856646068302843
"87",0.746231428994575
"88",0.791192340183208
"89",0.849723020548775
"90",0.749570119745179
"91",0.82617126711034
"92",0.727936696470746
"93",0.813617328601054
"94",0.849580460365124
"95",0.772234377921565
"96",0.868041740777711
"97",0.792580247699322
"98",0.895190324071551
"99",0.732958290726711
"100",0.900579278581864
