"","x"
"1",0.735050225128033
"2",0.748266816388482
"3",0.843157869396234
"4",0.734828262244579
"5",0.845331619471764
"6",0.855561550579069
"7",0.865172217559687
"8",0.770245923417305
"9",0.807777383729645
"10",0.714299105489436
"11",0.740931576013652
"12",0.742666614978681
"13",0.828406654716612
"14",0.812661401762193
"15",0.845774540736007
"16",0.776972913156657
"17",0.78043215543642
"18",0.851664459703772
"19",0.838793985090089
"20",0.762034647352494
"21",0.797910877894506
"22",0.69670613893495
"23",0.710330942431794
"24",0.816558663756157
"25",0.821493466515219
"26",0.866759609710651
"27",0.866242016369986
"28",0.815893646849203
"29",0.781953123605061
"30",0.75023906290584
"31",0.850682212342291
"32",0.870502345454927
"33",0.788631068159871
"34",0.77468584240329
"35",0.736986040514834
"36",0.876356971605722
"37",0.777387899771832
"38",0.861872051264617
"39",0.813842894958388
"40",0.832082084731302
"41",0.807534032455803
"42",0.754212443686313
"43",0.845786775950769
"44",0.777919381412959
"45",0.809119297877144
"46",0.716259354407933
"47",0.833677146456286
"48",0.811433474771555
"49",0.774948537094563
"50",0.852631593361047
"51",0.931111618595482
"52",0.78133499210597
"53",0.85116781717024
"54",0.830695587631087
"55",0.797818692367814
"56",0.880056119097907
"57",0.712781102719859
"58",0.679624893663472
"59",0.7945087501358
"60",0.831682582006444
"61",0.847076580149468
"62",0.736029081676609
"63",0.825839415491666
"64",0.839947375300263
"65",0.822001110947673
"66",0.790096642685429
"67",0.838881141210612
"68",0.677032375333701
"69",0.791098750266412
"70",0.825988740699341
"71",0.735852054968424
"72",0.85240336707296
"73",0.718091402982665
"74",0.811314045859269
"75",0.716732510589214
"76",0.768013863609897
"77",0.740332645494611
"78",0.79458795368788
"79",0.837957869181725
"80",0.736192903033031
"81",0.794748740724066
"82",0.888149266582831
"83",0.829401111214641
"84",0.771325913523124
"85",0.831805204657521
"86",0.839639436765175
"87",0.824413596456321
"88",0.817693950645133
"89",0.854213616647319
"90",0.831860540375684
"91",0.717081445738732
"92",0.794667900807606
"93",0.841508106179346
"94",0.808285828880682
"95",0.770258725759998
"96",0.78174250085606
"97",0.854707566372482
"98",0.847182227469946
"99",0.879582345774888
"100",0.87342573419857
