"","x"
"1",0.440972184157129
"2",0.289684780488043
"3",0.310153790267611
"4",0.393208421081536
"5",0.472016711996106
"6",0.0661661386943801
"7",0.361217763080754
"8",0.237065912878771
"9",0.584176564985703
"10",0.415161604847874
"11",0.185041623579702
"12",0.416447548781474
"13",0.425124215445081
"14",0.541578470845536
"15",0.408641584206497
"16",0.463050302718572
"17",0.403292569172603
"18",0.459817901744658
"19",0.256410037339802
"20",0.605621233051562
"21",0.308185129578663
"22",0.484495994087765
"23",0.264693869796703
"24",0.476625664891567
"25",0.424164567603493
"26",0.213796961955426
"27",0.355672730872694
"28",0.557701577270533
"29",0.466965875420815
"30",0.527822444150182
"31",0.461153432610691
"32",0.410610305663562
"33",0.526893943481547
"34",0.537576310069106
"35",0.322745877894177
"36",0.4999622817078
"37",0.388407401700173
"38",0.417011807210658
"39",0.224670368186771
"40",0.556002991658049
"41",0.350659229767115
"42",0.550355981743278
"43",0.408073729511838
"44",0.525605852851756
"45",0.180612825219058
"46",0.407555453408612
"47",0.405162250538744
"48",0.136651077383645
"49",0.387344532451287
"50",0.361138015528022
"51",0.507493142455632
"52",0.404946355623934
"53",0.299398707270636
"54",0.387359836883217
"55",0.519306943323813
"56",0.0273204557586831
"57",0.384767707232125
"58",0.351701089242833
"59",0.484535181762038
"60",0.56505727825583
"61",0.458609310346106
"62",0.386918938157457
"63",0.610530515181463
"64",0.155095115374144
"65",0.253966868358605
"66",0.450605990910648
"67",0.415107738340159
"68",0.445695443298225
"69",0.589339360238463
"70",0.488570252303805
"71",0.254701307703662
"72",0.500176483836296
"73",0.309530271995744
"74",0.4904843867642
"75",0.447758420564431
"76",0.40083236906275
"77",0.526765112819156
"78",0.360611799393174
"79",0.316722712302499
"80",0.569684489120588
"81",0.642904285701952
"82",0.391603010069601
"83",0.346928901105991
"84",0.229257865528018
"85",0.37162850093108
"86",0.26257214242815
"87",0.47252257109713
"88",0.437763456918438
"89",0.426123407967683
"90",0.436612306732041
"91",0.486018549624046
"92",0.318216190758276
"93",0.308956722868433
"94",0.580209862034003
"95",0.318429599728405
"96",0.522771791909762
"97",0.427651898041978
"98",0.359505284128059
"99",0.322086086708678
"100",0.217898708553116
"101",0.511697274050095
"102",0.434750801431156
"103",0.426274702605826
"104",0.250918236548734
"105",0.264065590867518
"106",0.434393478866406
"107",0.356603562391256
"108",0.378365980145515
"109",0.48880290829698
"110",0.482812892719531
"111",0.542983015929834
"112",0.497381945627004
"113",0.405735514914565
"114",0.55683980635713
"115",0.488632426758189
"116",0.269446738580108
"117",0.51899951614186
"118",0.672461443227445
"119",0.402571169321269
"120",0.556520465971224
"121",0.200005357229782
"122",0.568242138428379
"123",0.419521853870939
"124",0.482891737066355
"125",0.503690507515786
"126",0.532959255919118
"127",0.608102581312958
"128",0.498979175373287
"129",0.209548630507938
"130",0.449043600295593
"131",0.405941880565126
"132",0.259157090346034
"133",0.44337912116188
"134",0.447894861602488
"135",0.511023871199335
"136",0.387643744248934
"137",0.663567611530035
"138",0.602203591863845
"139",0.567804609085093
"140",0.322211676938675
"141",0.337472856434318
"142",0.554664810669263
"143",0.484283188456401
"144",0.592475994554087
"145",0.494630663213607
"146",0.252755318190807
"147",0.426593632926902
"148",0.494436918637049
"149",0.535654970279942
"150",0.571950965001472
"151",0.225593379679831
"152",0.296239203770595
"153",0.626496269768849
"154",0.360469495001566
"155",0.493062557545668
"156",0.562884919691146
"157",0.281377610577868
"158",0.602633167955598
"159",0.480364066413727
"160",0.449710203556376
"161",0.602953044676609
"162",0.209931055407268
"163",0.431045879050717
"164",0.490982176782565
"165",0.520147624268726
"166",0.512379721135492
"167",0.475118073199678
"168",0.348945804902943
"169",0.317313095296228
"170",0.436559004863048
"171",0.484438556244234
"172",0.438375256298686
"173",0.445997691779147
"174",0.261800198404998
"175",0.523169574039008
"176",0.368592275426259
"177",0.588025487223339
"178",0.416820316695096
"179",0.292880861494421
"180",0.378415928575371
"181",0.223782664947678
"182",0.334730814370007
"183",0.463105133057521
"184",0.486596300247131
"185",0.378591236965481
"186",0.128987773638352
"187",0.355662205874911
"188",0.410835786350924
"189",0.212786655563221
"190",0.315083867746156
"191",-0.00227466051894688
"192",0.596127988267535
"193",0.385392402752985
"194",0.473824100099577
"195",0.555344276533963
"196",0.423336632215106
"197",0.466419387089436
"198",0.338182111968598
"199",0.311497946256757
"200",0.344621351353081
"201",0.155392560103384
"202",0.17004126929933
"203",0.347132770115914
"204",0.233505984658863
"205",0.298904738229137
"206",0.322320136156327
"207",0.285038490644895
"208",0.142658152850486
"209",0.294490491111193
"210",0.202156716880116
"211",0.40867311656407
"212",0.504228638812704
"213",0.240293545474878
"214",0.054173113509659
"215",0.391198933365687
"216",0.0420710779472902
"217",0.16372382248824
"218",0.242513971770319
"219",0.423846186096342
"220",0.385291043973782
"221",0.319046222356023
"222",0.301221214253767
"223",0.303885982359528
"224",0.0445682425178442
"225",0.233676238196893
"226",0.229613131351764
"227",0.246984864627308
"228",0.346729481227005
"229",0.3610027238291
"230",0.25943965987783
"231",0.458122984529647
"232",0.237492990807912
"233",0.663560936270496
"234",0.24568506141686
"235",0.435859392707264
"236",0.155405706361403
"237",0.303642683106548
"238",0.426262985219169
"239",0.316725734065569
"240",0.26341615118713
"241",0.224387964902367
"242",0.0105771764832462
"243",0.228102858316727
"244",0.241582762078726
"245",0.0634187600469096
"246",0.200973211432152
"247",0.321301510627185
"248",0.287282814167325
"249",0.366882721542832
"250",0.102209111153173
"251",0.0552938081863958
"252",0.233787550538349
"253",0.270364348897026
"254",0.233670609517314
"255",0.29054141033359
"256",0.395939581254732
"257",0.119285778110158
"258",0.279756857512626
"259",0.070077006593443
"260",0.321743101020429
"261",0.335062855153333
"262",0.233724106817171
"263",0.271636343259052
"264",0.20903516458959
"265",0.414020712660698
"266",0.348189742733816
"267",0.355428587291671
"268",-0.0821509362921211
"269",0.487153918045342
