"","V1","V2"
"1","WAIC","3106.80967896405"
"2","ML","3037.09423043069"
"3","AIC","BIC"
"4","RhatMax","1.00676705881687"
"5","RhatMean","1.00035712322481"
"6","SE Mean","0.239393864259661"
"7","SE SD","0.0167003941749872"
