"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
30,3,5,5,3,0.146084934535432,0.0798732925353764,0.128255759381103,0.0966465553205695,0.0490443172355537,0.0784673606057501,0.0765179069310303,0.153560705267126,0.0828981195192158,-0.00180848532879707,0.011999661449688,-0.112428083977801,-0.0164953473729489,0,-0.0614741998238068,-2.77352468248948e-18,0.024200696280007,3.46944695195361e-18,1.01327024007497,1.03295499965884
30,3,5,5,4,0.132682278870547,0.00677434599595032,0.0803338711444196,0.0424197303272996,0.0363314413015443,0.0537517719687207,0.00345502226417117,0.073683911523268,0.140697621753886,0.0325863796892455,6.46513166794686e-05,0.0581691464936323,-0.00562923362097756,3.70074341541719e-17,0.0371701290628929,-1.04079173393872e-18,0.00201795410101053,1.15648231731787e-18,1.00662192269698,1.01719964592895
30,3,5,10,3,0.0816962821869242,0.0509502451969094,0.0969527398685574,0.128152290171088,0.0275847775205594,0.0519407256994074,0.0582465932952731,0.138554647322909,0.177257435360952,-0.00409065075726687,-0.00231162031727442,-0.0684334971097475,-0.0100412162789331,9.71445146547012e-17,0.0110903604937153,-1.73472347597681e-18,-0.0107161854935362,-2.60208521396521e-18,1.00725027692277,1.02248320482894
30,3,5,10,4,0.225812819601989,0.0477296569281905,0.288322408774004,0.0803198513878373,0.133170120976735,0.268485596081175,0.0606115178481116,0.0958517137456858,0.223821402970391,-0.017781438043477,-0.00419261597369584,0.253888147653306,0.00718395975779078,-3.70074341541719e-17,-0.0724529173574903,-2.08082113822491e-18,0.0156063658101197,2.16840434497101e-17,1.01900073823835,1.06284052802978
30,3,10,5,3,0.0854610279337551,0.0366413408613811,0.138575938546795,0.123354685521428,0.010815324579045,0.0967235756684545,0.0236285295950335,0.158847168626622,0.137698943809759,0.0106069202793692,-0.00123752904345875,0.0643728045565581,0.0275632096371251,9.25157619422722e-18,0.0294998355487576,4.16265871598653e-18,0.0152380834614395,3.8597597340484e-17,1.01785422456435,1.06295546929077
30,3,10,5,4,0.0721083101024063,0.00935746020803002,0.118211365348005,0.0649145583877171,0.0212254222901518,0.0731999407727528,0.0275573937973269,0.182452406777235,0.099526082582622,0.00194980805068357,-0.000139822553380853,-0.0494764856216836,0.00845389023882586,-3.70078047310863e-17,0.0479115255403904,-2.77623518792069e-18,-0.017798467093349,1.50320113706063e-17,1.02312185635652,1.05810792248517
30,3,10,10,3,0.134335575975084,0.0370105258188713,0.165859724529376,0.046426544704123,0.0729704527859798,0.100465402887336,0.037010041385014,0.0640283936351224,0.126245139270246,-0.0114084450367429,-0.00664793521864919,0.131556458497561,-0.00409095777658345,-1.85014583225599e-17,0.00633787959251184,3.47622321553165e-19,0.020766148258973,6.93889390390723e-18,1.02125210685767,1.05963092413717
30,3,10,10,4,0.106879104906062,0.0506781531989603,0.15054886058652,0.127034408996728,0.0353312884462427,0.0887119791029949,0.0366496968860693,0.120766553266446,0.108374579570203,-0.00455088304710099,-0.0120434915079178,-0.128909327335289,-0.0218617923052283,-1.85037170770859e-17,0.00472781929623523,1.38676234124474e-18,-0.00304985451493671,8.38379093976519e-18,1.01927414167848,1.06703186549053
30,5,5,5,3,0.103078697375263,0.0853035618164005,0.0356607167839188,0.103122319558855,0.0872626479907337,0.0442543274672387,0.0167750684764433,0.109159899030903,0.0757066100650896,0.0201281821741499,-0.00187309951210459,-0.0352983402742053,-0.00904369488636834,-6.10622663543836e-17,0.0118312062221391,6.93889390390723e-19,0.0144003550989297,0,1.01087184306312,1.0212290430987
30,5,5,5,4,0.186635020460136,0.030168931437729,0.206397990630993,0.0728998902391139,0.182502225688006,0.11857833423162,0.0504496008880938,0.0614424291208756,0.216389829854317,-0.0246886840023842,0.00126368661459773,0.193097722572762,-0.00586081833624616,3.33026249806079e-17,-0.00510948828752029,-4.16401396870214e-18,0.00835477170422811,-1.15625644186527e-17,1.01535216249249,1.04403733470553
30,5,5,10,3,0.167530634284206,0.0489607942307785,0.532239228423279,0.0641201004599928,0.190651005661792,0.261049199061101,0.0442242731798881,0.0505527526922467,0.219824133823418,0.0300256170244116,-0.0137741083415235,0.320540623501718,-0.00335885671968154,1.11022302462516e-17,0.0480057478294217,1.21481465295212e-18,0.00414988572515849,-1.73472347597681e-17,1.01590436678304,1.04314873061108
30,5,5,10,4,0.168995036945062,0.0288405864926931,0.177228937515762,0.0558177518648486,0.0953927406387999,0.14367906628759,0.025694663489867,0.0347002649946033,0.165992227284106,0.0143844971898323,0.00461881217584252,0.157073185798835,-0.00561833708184984,0,-0.00447367789857969,3.47622321553165e-19,0.0115594949223719,1.15648231731787e-17,1.00282928083113,1.01112968645311
30,5,10,5,3,0.0664085249421646,0.0477896072294007,0.114907855180171,0.06868959128559,0.0223985520787003,0.0670236444773487,0.0337402324186276,0.0859907637610081,0.193584696356291,-0.00964271645999091,-0.0152475120932666,0.0746594613737252,0.0109192375815814,-5.55118394455275e-18,-0.00761660161229021,-1.38676234124474e-18,0.00561226273566847,-2.77555756156289e-17,1.00676216467434,1.01952367134953
30,5,10,5,4,0.0936981423745397,0.0504898066243853,0.0822165254684786,0.0432166068590408,0.0527705805485573,0.107059305178781,0.0235990642696089,0.158932402474059,0.0836213168752044,0.00433044816946555,-0.0130177069578286,0.0258856674041113,-2.43288291325028e-05,2.77555756156289e-17,0.000422237693756408,9.71512909182792e-18,-0.00969496582568086,1.15676466163362e-18,1.00688269167937,1.02991462802217
30,5,10,10,3,0.222594395590576,0.0168858563959258,0.254641169272898,0.0276841708221581,0.0989314480555571,0.166218013074272,0.0498058409075338,0.126553125091269,0.12095737842848,-0.00057841521903935,0.000404689092615307,0.229206600770723,0.00136576542600547,-2.22071709979343e-17,0.0115980923996611,0,0.00444180288367478,-3.46944695195361e-18,1.00300151591196,1.01025194333922
30,5,10,10,4,0.142823094835983,0.0286520357726991,0.148364021873302,0.053686914361002,0.15641241704588,0.117688125266736,0.0376287484162428,0.0901395661792434,0.156235978567405,-0.0104428617213636,-0.00747991045804472,0.129187261302945,0.012017184148025,0,-0.018789349139286,3.47495266611077e-19,0.0202289369909655,1.85025876998229e-17,1.00624522079203,1.0199093385078
50,3,5,5,3,0.111302678049174,0.0280931482560693,0.0713189358364361,0.0339385354468814,0.038657114689917,0.0427650795978126,0.0456783007264049,0.0326438881932274,0.0605068057191444,0.0203923985207952,-0.000994322049845249,0.017329238850333,0.00151744417692476,1.85048464543489e-17,0.0194755861250172,1.38642352806584e-18,0.00723120192194555,3.46944695195361e-18,1.02428671118038,1.07282355498668
50,3,5,5,4,0.140451333961929,0.0334411345225474,0.16216477701821,0.0593983474604976,0.0337616428650086,0.0742930966055894,0.0200909955193004,0.0987356300844225,0.127401404044236,-0.0283560187892141,0.0043580228814812,-0.122738911920883,-0.00576253126858977,-3.70074341541719e-17,-0.0591250663568189,1.38743996760254e-18,-0.00866795696120026,2.77555756156289e-17,1.00847178265471,1.02065982399831
50,3,5,10,3,0.110506399709597,0.0410986681238962,0.0466401812684851,0.100536511830605,0.00920841354600622,0.0347829898257898,0.0351603941170122,0.051241063507129,0.147360565333756,0.0115587686537071,-0.00297218063833967,-0.0216805855262924,0.0157027140274123,0,0.0261423442771458,1.73472347597681e-18,0.00509145170435277,1.04083408558608e-17,1.01635139558307,1.04377297491306
50,3,5,10,4,0.210871357843455,0.00698369954852862,0.226048125791786,0.0826181681592415,0.15868732498399,0.0853917387272443,0.0435151902033766,0.0428694209202507,0.268947634476817,-0.0072870811862596,8.00800727468095e-05,0.207051020296792,0.000832201790152104,9.24734102949095e-18,-0.0390417356417337,-1.03981764604938e-18,-0.00143358102676916,-9.24734102949095e-18,1.00662600099607,1.01628828556448
50,3,10,5,3,0.14961654590962,0.0236594175188748,0.13176163045712,0.059049995458483,0.0468232473358859,0.12896916423879,0.0311385896502405,0.110546800654142,0.218642541855967,0.00318208719984115,-0.00304184586190374,0.0987001449708186,0.00307013724348699,-4.62592926927149e-17,0.0133887769634546,-6.93211764032919e-19,0.000650466769405511,0,1.03544747413168,1.10564595814742
50,3,10,5,4,0.083380043654613,0.0288960890632833,0.0812857599962283,0.0221596402009597,0.0284017368226518,0.0464242226135263,0.0108971057399904,0.0792799157424139,0.0897662933819161,-0.0130309536893678,-0.000880137030631093,0.0493889764268234,0.00157412127635757,-1.85048464543489e-17,0.014758242298632,1.38777878078145e-18,0.019668227786511,1.96596347057723e-17,1.03091122929023,1.08713002587676
50,3,10,10,3,0.0695652446250269,0.0356928921431395,0.10499750247998,0.0614451194245167,0.00603931465880668,0.0622931882045902,0.030008722437279,0.0575846001688324,0.123131395699775,0.0130614167891418,0.000710018322738019,-0.0626631166401026,-0.0104916184651349,3.46944695195361e-18,0.022073027513046,-1.90844993345866e-18,0.00727647325000711,-7.04731412115578e-19,1.02226229244958,1.06392236465371
50,3,10,10,4,0.0789583972110927,0.0116073688378295,0.0648860277272548,0.118266218147544,0.059767012635327,0.0773084022307297,0.0276694261298018,0.0461364287504133,0.100367335992545,-0.0030144228888243,-6.00857962127869e-05,0.0447623233022247,-0.0140699648051262,2.77555756156289e-17,-0.0050787961847759,-1.73472347597681e-18,0.0131876430662131,9.25185853854297e-18,1.01194938200934,1.03008658086105
50,5,5,5,3,0.102163655500162,0.0633976530290854,0.0756041277979621,0.0615414284813165,0.0295961089801788,0.0471470033540242,0.0282791571589427,0.0796532771154946,0.0290137795310081,0.0173522079907134,-0.000665009236962255,0.0363100619050432,-0.00872909452146104,0,0.0192680267058759,-8.67361737988404e-19,-0.00118722588580524,-3.29597460435593e-17,1.00846819154558,1.02554166235803
50,5,5,5,4,0.200481001030469,0.0584991571365661,0.233783232900793,0.0586570791132157,0.223275362586013,0.245888235812113,0.035549213427142,0.0376824962450159,0.145478421640462,-0.00520092584615083,0.00393495017117691,0.21366707973736,0.00205121976497356,-4.44089209850063e-17,-0.00250179345825314,2.77606578133124e-18,0.000106245640601199,2.65988109539953e-17,1.00295435187067,1.01160487589709
50,5,5,10,3,0.167775508011057,0.0294906096818499,0.122152211544298,0.044663274971885,0.120956176244887,0.14490420707804,0.0481916830303645,0.0880787942760403,0.106765797895514,0.00425075804554555,-0.00808891328318897,0.119868437805164,0.000624476517029693,0,-0.0198821111504643,-2.08302342388778e-18,0.000774845815643554,-6.93889390390723e-18,1.01974205260795,1.04534776117267
50,5,5,10,4,0.0932049997464029,0.0503848373110012,0.0582349715462539,0.0571335369867495,0.0891556528524918,0.0886471730601069,0.0294141436843104,0.0485262693395491,0.124308415665757,-0.0261652532826843,-0.00227157321054214,0.0540976486331582,0.00633400656866931,-6.38391791686621e-17,-0.0170023515490502,0,0.024637183394901,9.54097911787244e-18,1.01319967992997,1.02971280275416
50,5,10,5,3,0.149407294313798,0.0228216934484574,0.100992414607719,0.0362347018795911,0.0785239104570005,0.0774322993084053,0.0335645403368783,0.161136225477368,0.0509596314635265,-0.0104043586810469,4.14309168161209e-05,0.0883935875767247,-0.00345670413962045,-2.22034440529664e-17,0.00602105309675243,1.38777878078145e-17,0.00567693966920396,-2.25514051876985e-17,1.01684673401846,1.03534314714887
50,5,10,5,4,0.0874881500298603,0.0238146069199484,0.130146312000033,0.0471734423342953,0.0983296953601017,0.0778413602901089,0.00971345342860826,0.0749026367921961,0.11392530998051,-0.00289823087585273,0.000623166158356003,-0.111834617766449,0.00717301016364462,-2.22071709979343e-17,0.021461565529826,2.77576931979971e-18,0.0145865490119736,9.25411729306898e-18,1.01437106663479,1.04272708410424
50,5,10,10,3,0.0792427417905728,0.0408593196030253,0.10544814970442,0.0501483883095804,0.0566375212051128,0.0609820345119547,0.0188743620371274,0.0387930773612355,0.0808314805494033,0.0239755052431655,-0.00237514636182281,-0.0974842436236246,-0.00111873400831546,-7.77142564710454e-17,0.0248469677497072,-1.38777878078145e-18,0.00771265181553848,5.20417042793042e-18,1.04424068106041,1.1108771294227
50,5,10,10,4,0.13507523307709,0.0244009111093314,0.114781289947676,0.0478306126619109,0.0988536455855827,0.131422033268404,0.0156717213322919,0.0449932188121537,0.129476529903854,0.0101413816057891,-0.00018816732072624,0.107879672515727,-0.0133431514400293,-1.66533453693773e-17,-0.00312529082053123,-2.42835875648335e-18,0.0147109856772349,0,1.02974361941919,1.08895563525747
