"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
30,15,5,3,0.250757133465286,0.638290952005913,0.288125663878865,0.509058973807608,0.00419379191085267,-0.140411479328742,-0.0221779487347379,-1.40946282423115e-18,1.00252884797124,1.01146342569364
30,10,5,3,0.281417591222742,0.695010770241188,0.27368361576876,0.450614894519489,0.0285737967788721,-0.147984213465585,-0.0227614398286882,-5.34873071759515e-18,1.00161443262479,1.00735853137767
30,15,5,5,0.245285821743006,0.43735032717181,0.269637935887562,0.446702968445816,0.0264162115667065,-0.0661182578017657,0.0477669434895906,-4.93311988480904e-18,1.00258398873002,1.00887322131014
30,10,5,5,0.358341041870082,0.639083017226862,0.251516092758476,0.419918096916796,0.0151182285055566,-0.124146562724754,0.0432137932821027,5.20417042793042e-18,1.00335495146993,1.01202720865774
60,15,5,3,0.248084465835277,0.267224418538895,0.210667139636196,0.334439148383156,0.0327404895462704,-0.0191242160946314,0.0410524420081813,6.68591339699394e-18,1.00391549949,1.01549597302597
60,10,5,3,0.279519692568441,0.349403656815753,0.182591764753249,0.379618950837372,-0.00376838703385115,-0.0450473714091668,-0.00339827976522092,-2.89120579329466e-18,1.00247391997339,1.0106484847012
60,15,5,5,0.235297481449999,0.338622479473529,0.217049707684742,0.358123242762998,0.00492797317378577,-0.0341022311379012,0.0222748285097432,1.5178830414797e-18,1.00721171009731,1.0240309285552
60,10,5,5,0.279104295964265,0.284566259258731,0.184185866261063,0.367725714398798,-0.0016939752199662,-0.0320044797639722,-0.0225550312184174,-4.33680868994202e-18,1.00338072239448,1.0123404127656
